RegionID,RegionName,City,State,Metro,CountyName,SizeRank,Sales
1996-04-01,61635,10021,New York,NY,New York,New York,273,164600.0
1996-05-01,61635,10021,New York,NY,New York,New York,273,165300.0
1996-06-01,61635,10021,New York,NY,New York,New York,273,165900.0
1996-07-01,61635,10021,New York,NY,New York,New York,273,166700.0
1996-08-01,61635,10021,New York,NY,New York,New York,273,167400.0
1996-09-01,61635,10021,New York,NY,New York,New York,273,168300.0
1996-10-01,61635,10021,New York,NY,New York,New York,273,169200.0
1996-11-01,61635,10021,New York,NY,New York,New York,273,170300.0
1996-12-01,61635,10021,New York,NY,New York,New York,273,171700.0
1997-01-01,61635,10021,New York,NY,New York,New York,273,173000.0
1997-02-01,61635,10021,New York,NY,New York,New York,273,173800.0
1997-03-01,61635,10021,New York,NY,New York,New York,273,174400.0
1997-04-01,61635,10021,New York,NY,New York,New York,273,175100.0
1997-05-01,61635,10021,New York,NY,New York,New York,273,176000.0
1997-06-01,61635,10021,New York,NY,New York,New York,273,177100.0
1997-07-01,61635,10021,New York,NY,New York,New York,273,178100.0
1997-08-01,61635,10021,New York,NY,New York,New York,273,179300.0
1997-09-01,61635,10021,New York,NY,New York,New York,273,180500.0
1997-10-01,61635,10021,New York,NY,New York,New York,273,181800.0
1997-11-01,61635,10021,New York,NY,New York,New York,273,183500.0
1997-12-01,61635,10021,New York,NY,New York,New York,273,185300.0
1998-01-01,61635,10021,New York,NY,New York,New York,273,186800.0
1998-02-01,61635,10021,New York,NY,New York,New York,273,187900.0
1998-03-01,61635,10021,New York,NY,New York,New York,273,188600.0
1998-04-01,61635,10021,New York,NY,New York,New York,273,189500.0
1998-05-01,61635,10021,New York,NY,New York,New York,273,190600.0
1998-06-01,61635,10021,New York,NY,New York,New York,273,191600.0
1998-07-01,61635,10021,New York,NY,New York,New York,273,192700.0
1998-08-01,61635,10021,New York,NY,New York,New York,273,193900.0
1998-09-01,61635,10021,New York,NY,New York,New York,273,195100.0
1998-10-01,61635,10021,New York,NY,New York,New York,273,196400.0
1998-11-01,61635,10021,New York,NY,New York,New York,273,198100.0
1998-12-01,61635,10021,New York,NY,New York,New York,273,200100.0
1999-01-01,61635,10021,New York,NY,New York,New York,273,201700.0
1999-02-01,61635,10021,New York,NY,New York,New York,273,202900.0
1999-03-01,61635,10021,New York,NY,New York,New York,273,203800.0
1999-04-01,61635,10021,New York,NY,New York,New York,273,205000.0
1999-05-01,61635,10021,New York,NY,New York,New York,273,206400.0
1999-06-01,61635,10021,New York,NY,New York,New York,273,208100.0
1999-07-01,61635,10021,New York,NY,New York,New York,273,210000.0
1999-08-01,61635,10021,New York,NY,New York,New York,273,211900.0
1999-09-01,61635,10021,New York,NY,New York,New York,273,214200.0
1999-10-01,61635,10021,New York,NY,New York,New York,273,216700.0
1999-11-01,61635,10021,New York,NY,New York,New York,273,219700.0
1999-12-01,61635,10021,New York,NY,New York,New York,273,223000.0
2000-01-01,61635,10021,New York,NY,New York,New York,273,226100.0
2000-02-01,61635,10021,New York,NY,New York,New York,273,228600.0
2000-03-01,61635,10021,New York,NY,New York,New York,273,230900.0
2000-04-01,61635,10021,New York,NY,New York,New York,273,233400.0
2000-05-01,61635,10021,New York,NY,New York,New York,273,236100.0
2000-06-01,61635,10021,New York,NY,New York,New York,273,239000.0
2000-07-01,61635,10021,New York,NY,New York,New York,273,241900.0
2000-08-01,61635,10021,New York,NY,New York,New York,273,244900.0
2000-09-01,61635,10021,New York,NY,New York,New York,273,247900.0
2000-10-01,61635,10021,New York,NY,New York,New York,273,251000.0
2000-11-01,61635,10021,New York,NY,New York,New York,273,254600.0
2000-12-01,61635,10021,New York,NY,New York,New York,273,258300.0
2001-01-01,61635,10021,New York,NY,New York,New York,273,261400.0
2001-02-01,61635,10021,New York,NY,New York,New York,273,263600.0
2001-03-01,61635,10021,New York,NY,New York,New York,273,265400.0
